usage point,occurred,value
{http://naesb.org/espi}IntervalReading,2011-03-07T00:00:00.000000Z,5400
{http://naesb.org/espi}IntervalReading,2011-03-07T00:15:00.000000Z,4500
{http://naesb.org/espi}IntervalReading,2011-03-07T00:30:00.000000Z,4800
{http://naesb.org/espi}IntervalReading,2011-03-07T01:00:00.000000Z,4500
{http://naesb.org/espi}IntervalReading,2011-03-07T01:15:00.000000Z,4800
{http://naesb.org/espi}IntervalReading,2011-03-07T01:30:00.000000Z,4500
{http://naesb.org/espi}IntervalReading,2011-03-07T01:45:00.000000Z,4200
{http://naesb.org/espi}IntervalReading,2011-03-07T02:00:00.000000Z,4200
{http://naesb.org/espi}IntervalReading,2011-03-07T02:15:00.000000Z,4200
{http://naesb.org/espi}IntervalReading,2011-03-07T02:30:00.000000Z,4500
{http://naesb.org/espi}IntervalReading,2011-03-07T02:45:00.000000Z,4200
{http://naesb.org/espi}IntervalReading,2011-03-07T03:00:00.000000Z,4200
{http://naesb.org/espi}IntervalReading,2011-03-07T03:15:00.000000Z,3900
{http://naesb.org/espi}IntervalReading,2011-03-07T03:30:00.000000Z,4200
{http://naesb.org/espi}IntervalReading,2011-03-07T04:00:00.000000Z,3000
{http://naesb.org/espi}IntervalReading,2011-03-07T04:15:00.000000Z,2700
{http://naesb.org/espi}IntervalReading,2011-03-07T04:30:00.000000Z,2400
{http://naesb.org/espi}IntervalReading,2011-03-07T04:45:00.000000Z,2700
{http://naesb.org/espi}IntervalReading,2011-03-07T05:00:00.000000Z,2700
